"Area","Boro","time","rentalStudioInventory","rentalStudioMedPrice","rentalOneBdInventory","rentalOneBdMedPrice","rentalTwoBdInventory","rentalTwoBdMedPrice","rentalThreeBdInventory","rentalThreeBdMedPrice","condoInventory","condoMedAskPrice","condoMedSalePrice","sfInventory","sfMedAskPrice","sfMedSalePrice"
"Alley Park","Queens",2014-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Astoria","Queens",2014-01-01,42,1650,210,1800,189,2150,94,2800,23,458000,NA,23,879000,750000
"Auburndale","Queens",2014-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,721000
"Bath Beach","Brooklyn",2014-01-01,NA,NA,4,NA,3,NA,4,NA,NA,NA,NA,NA,NA,702500
"Battery Park City","Manhattan",2014-01-01,31,2700,165,3385,87,6195,29,11000,65,1250000,1300000,NA,NA,NA
"Bay Ridge","Brooklyn",2014-01-01,20,1200,195,1550,54,2000,30,2300,10,384500,NA,32,999000,827500
"Bayside","Queens",2014-01-01,2,NA,3,NA,3,NA,3,NA,10,613000,472500,5,NA,775500
"Bedford-Stuyvesant","Brooklyn",2014-01-01,24,1400,99,1700,217,1975,208,2695,41,629000,463437,154,912500,540749
"Bellerose","Queens",2014-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,537500
"Bensonhurst","Brooklyn",2014-01-01,NA,NA,11,1350,5,NA,1,NA,3,NA,NA,12,1100000,780000
"Bergen Beach","Brooklyn",2014-01-01,NA,NA,NA,NA,NA,NA,NA,NA,10,354500,NA,19,699000,NA
"Boerum Hill","Brooklyn",2014-01-01,4,NA,27,2200,47,3200,26,4875,12,687000,NA,6,NA,NA
"Borough Park","Brooklyn",2014-01-01,1,NA,11,1300,6,NA,1,NA,NA,NA,NA,NA,NA,815000
"Bowne Park","Queens",2014-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Briarwood","Queens",2014-01-01,2,NA,10,1472.5,7,NA,6,NA,1,NA,NA,3,NA,NA
"Brighton Beach","Brooklyn",2014-01-01,NA,NA,5,NA,11,2245,2,NA,29,649000,617500,7,NA,NA
"Brooklyn Heights","Brooklyn",2014-01-01,33,2050,107,2750,60,4575,10,7500,17,2095000,NA,16,6100000,NA
"Brookville","Queens",2014-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brownsville","Brooklyn",2014-01-01,3,NA,5,NA,5,NA,1,NA,NA,NA,NA,13,499000,NA
"Bushwick","Brooklyn",2014-01-01,13,1950,54,1875,106,2072.5,103,2700,3,NA,NA,46,849499.5,540000
"Cambria Heights","Queens",2014-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372340
"Canarsie","Brooklyn",2014-01-01,NA,NA,NA,NA,NA,NA,NA,NA,10,329500,NA,34,457500,414638
"Carroll Gardens","Brooklyn",2014-01-01,2,NA,22,2400,45,2900,13,4600,11,895000,NA,18,2647499.5,NA
"Central Harlem","Manhattan",2014-01-01,89,1375,207,1750,241,2400,114,3372.5,169,825000,464220,37,1950000,NA
